PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
CPS-HDD-6TB-BNDL;;;;;без SN
CRS-8/S;July 31, 2013;July 31, 2014;October 29, 2019;July 31, 2020;
CRS-8-AC-RECT;August 31, 2012;August 31, 2013;November 29, 2016;August 31, 2017;
CRS-8-DC-PEM;August 31, 2012;August 31, 2013;November 29, 2016;August 31, 2017;
CRS-8-FC140/S;;;;;
CRS-8-LCC;July 31, 2013;July 31, 2014;October 29, 2019;July 31, 2020;
CRS-8-LCC-DC;;;;;
CRS-8-LCC-FAN-TR;January 30, 2016;January 29, 2017;April 29, 2020;January 31, 2021;
CRS-8-PSH-DC;;;;;
CRS-8-RP;January 30, 2013;January 30, 2014;April 30, 2017;January 31, 2018;
CRS-FP140;;;;;
CRS-PM-DC;;;;;
CSACS-1121-UP-K9;August 27, 2013;August 27, 2014;November 22, 2017;August 31, 2018;
CTS-CAB-VGA-A;;;;;без SN
CTS-CAM-TOOL;;;;;без SN
CTS-CODEC-PRI-G2R;;;;;без SN
CTS-CODEC-S-PWR;;;;;без SN
CTS-CTRL-DV12;;;;;без SN
CTS-DISP-65-GEN4;;;;;без SN
CTS-EP-SW-V1.9K9;;;;;без SN
CTS-LAEB-G2R;;;;;без SN
CTS-LAPCONN-CE;;;;;без SN
CTS-LCU-G2R;;;;;без SN
CTS-PWR-LT-LED;;;;;без SN
CTS-T3-PDU1;;;;;без SN
CTS-TX9000-BZL;;;;;без SN
CTS-TX9000-LEDPK;;;;;без SN
CTS-TX9000-SPKR;;;;;без SN
CTS-TX9000-TBL;;;;;без SN
CTS-TX9200;;;;;без SN
CTS-TX9200-TBL;;;;;без SN
CTS-TX9K-CAMCLSTR;;;;;без SN
CTS-TX9K-CAM-HS;;;;;без SN
CTS-TX9K-CAM-PWR;;;;;без SN
CTS-TX9K-CBLRUN;;;;;без SN
CTS-TX9K-DATADISP;;;;;без SN
CTS-TX9K-FRT-PNLS;;;;;без SN
CTS-TX9K-LTRF-PNL;;;;;без SN
CTS-TX9K-MIC;;;;;без SN
CTS-TX9K-TBL-PNLB;;;;;без SN
CTS-TX9XX0-TBL-WB;;;;;без SN
CTS-TX9XX0-TBL-WF;;;;;без SN
CUCM-VERS-10.X-XU;;;;;без SN
CVR-X2-SFP;;;;;
CVR-X2-SFP10G;;;;;
CWHUM-1.1-L-K9;June 19, 2010;June 19, 2011;September 17, 2014;June 18, 2015;
CWLMS-3.1-5KUPK9;;;;;
DE46C;;;;;без SN
DEM-330R;;;;;
DEM-330T;;;;;
DEM-410X;;;;;
DEM-422XT;;;;;
DGS-3627G;;;;;
DISK-SAS-300GB;August 2, 2010;August 2, 2011;October 28, 2014;August 31, 2015;
DWDM-XENPAK-47.72;July 16, 2015;July 15, 2016;October 11, 2019;July 31, 2020;
DWDM-XFP-50.92;;;;;
DWDM-XFP-58.98;;;;;
DWDM-XFP-59.79;;;;;
DWDM-XFP-60.61;;;;;
DWDM-XFP-C;;;;;
ES+4TG3CXL-BUN;;;;;
ES-2024A;;;;;
ES3526S;;;;;
eSFP-GE-SMTx1490/Rx1310-10K;;;;;
ET4201-LX;;;;;
FAN-MOD-09;;;;;
FAN-MOD-4HS;;;;;
FAN-MOD-6SHS;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
FAN-MOD-9SHS;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
FBT-2C-49192-04C;;;;;
FLASR1-BB-16K;;;;;
FLASR1-BB-4K;;;;;
FLASR1-BB-RTU;;;;;
FLASR1-IOSRED-RTU;;;;;
FLS-ASR1001-5G;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
FL-WEBVPN-10-K9;;;;;
FR-IR75;;;;;
FR-WPP75;;;;;
FTRJ-1319-7D-CSC;;;;;
FTRJ1319P1BTL-C7;;;;;
GBIC_T;;;;;
GEIP+;December 15, 2007;December 14, 2008;March 14, 2012;December 31, 2012;
GLC-BX-D;;;;;
GLC-BX-U;;;;;
GLC-LH-SM;March 8, 2013;March 8, 2014;June 6, 2017;March 31, 2018;
GLC-LH-SMD;;;;;
GLC-LX-SM-RGD;;;;;
GLC-SX-MM;March 8, 2013;March 8, 2014;June 6, 2017;March 31, 2018;
GLC-SX-MMD;;;;;
GLC-T;June 1, 2017;June 1, 2018;August 30, 2021;May 31, 2022;
GLC-ZX-SM;October 17, 2013;October 17, 2014;January 12, 2018;October 31, 2018;
GSR6-ALRM;;;;;
HighSpeedWanInterfacecardwith16RS232asyncports(HWIC-16A);;;;;
HWIC-1FE;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
HWIC-1GE-SFP;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
HWIC-2CE1T1-PRI;;;;;
HWIC-2FE;;;;;
HWIC-2T;;;;;
HWIC-4ESW;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
HWIC-4T;;;;;
HWIC-8A;;;;;
HWIC-D-9ESW;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
Invalid;;;;;
ISR4451-X/K9;;;;;
JABBER-IM-ADDON;;;;;без SN
JABBER-IM-RTU;;;;;без SN
LIC-TP-10X-ROOM;;;;;
M-ASR1K-EUSB-1GB;;;;;без SN
M-ASR1K-HDD-40GB;;;;;
M-ASR1K-RP1-4GB;;;;;без SN
ME-3400-24TS-A;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400-24TS-D;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400E-24TS-M;;;;;
ME-3400EG-12CS-M;;;;;
ME-3400G-12CS-A;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400G-12CS-D;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400G-2CS-A;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME34X-PWR-AC;;;;;
ME34X-PWR-AC-R;;;;;
ME3600X-10G;;;;;
ME-3600X-24FS-M;;;;;
ME-3600X-24TS-M;;;;;
ME3600X-I;;;;;
ME3750-IPBASE-LIC;;;;;
ME-3800X-24FS-M;;;;;
ME3800X-A;;;;;
ME3800X-S;;;;;
ME-4924-10GE;February 28, 2013;February 28, 2014;May 29, 2017;February 28, 2018;
ME-BDL-01;;;;;
ME-C3750-24TE-M;August 29, 2011;February 22, 2013;May 23, 2016;February 28, 2017;
ME-C6524GS-8S;March 31, 2012;March 31, 2013;June 26, 2016;March 31, 2017;
MEM-16F-RSP4+;December 15, 2007;December 14, 2008;March 14, 2012;December 31, 2012;
MEM1700-32D;;;;;
MEM1700-64D;;;;;без SN
MEM1800-32CF;;;;;без SN
MEM2600XM-128D;;;;;без SN
MEM2600XM-32FS;;;;;без SN
MEM2691-128D;;;;;без SN
MEM2691-64CF;;;;;без SN
MEM2800-64CF-INC;;;;;без SN
MEM2811-256D;;;;;без SN
MEM2821-256D;;;;;без SN
MEM3745-128U256D;;;;;без SN
MEM3745-32U64CF;;;;;без SN
MEM-7201-1GB;;;;;без SN
MEM-7201-FLD256;;;;;без SN
MEM-7301-FLD64;;;;;без SN
MEM800-4F;;;;;без SN
MEM870-4F;;;;;
MEM-C4K-FLD128M;;;;;
MEM-C6K-CPTFL128M;;;;;без SN
MEM-C6K-CPTFL256M;;;;;без SN
MEM-CC-WAN-256M;;;;;без SN
MEM-I/O-FLD128M;;;;;без SN
MEM-I/O-FLD48M;;;;;без SN
MEM-I/O-FLD64M;;;;;без SN
MEM-MSFC2-512MB;;;;;без SN
MEM-NPE-400-512MB;;;;;без SN
MEM-NPE-G1-1GB;;;;;невалидный
MEM-NPE-G1-256MB;;;;;без SN
MEM-NPE-G1-FLD128;;;;;невалидный
MEM-NPE-G1-FLD256;;;;;без SN
MEM-NPE-G1-FLD64;;;;;без SN
MEM-NPE-G2-1GB;;;;;без SN
MEM-NPE-G2-FLD256;;;;;без SN
MEM-RSP16-512M;;;;;без SN
MEM-RSP16-FLD64M;;;;;без SN
MEM-RSP720-2G;;;;;без SN
MEM-RSP720-CF1G;;;;;невалидный
MEM-RSP720-CF512M;;;;;невалидный
MEM-RSP720-SP1G;;;;;без SN
MEM-SIP-200-512M;;;;;без SN
MEM-VIP4-256M-SD;;;;;без SN
MEM-VIP4-64M-SD;;;;;без SN
MEM-VIP6-256M-SD;;;;;без SN
MEM-VIP6-64M-SD;;;;;без SN
MEM-X45-512MB-E;;;;;невалидный
MEM-XCEF720-512M;;;;;без SN
MIDPLANE;;;;;невалидный
MOD1700-VPN;July 31, 2009;July 31, 2010;October 26, 2013;July 30, 2014;
MSFC4;;;;;невалидный
N/A;;;;;
NA;;;;;невалидный
NETWORK-3-GR-A-RTM;May 6, 2014;May 6, 2015;August 1, 2016;May 31, 2017;без SN
NETWORK-3-GR-B-RTM;May 6, 2014;May 6, 2015;August 1, 2016;May 31, 2017;без SN
NETWORK-3-GR-C-RTM;May 6, 2014;May 6, 2015;August 1, 2016;May 31, 2017;без SN
NETWORK-3-GR-D-RTM;May 6, 2014;May 6, 2015;August 1, 2016;May 31, 2017;без SN
NFC6.0-SW-T1-K9;September 13, 2012;September 13, 2013;December 10, 2014;September 30, 2015;
NM-16A;September 14, 2009;September 14, 2010;December 10, 2013;September 13, 2014;
NM-16ESW;November 15, 2011;November 14, 2012;February 13, 2016;November 30, 2016;
NM-1CE1T1-PRI;December 29, 2008;December 29, 2009;March 26, 2013;December 28, 2013;
NM-1GE;April 1, 2010;April 1, 2011;June 27, 2014;March 31, 2015;
NM-2CE1T1-PRI;December 29, 2008;December 29, 2009;March 26, 2013;December 28, 2013;
NM-2FE2W;December 31, 2003;December 31, 2005;December 31, 2007;December 31, 2008;http://www.cisco.com/en/US/products/hw/routers/ps274/prod_eol_notice09186a00801e6ef5.html
NM-2FE2W-V2;May 18, 2011;May 17, 2012;August 13, 2015;May 31, 2016;
NM-2W;December 2, 2011;December 1, 2012;February 27, 2016;November 30, 2016;
NM-8A/S;September 27, 2008;September 27, 2009;December 26, 2012;September 26, 2013;
NM-8CE1T1-PRI;March 31, 2016;March 31, 2017;June 26, 2020;March 31, 2021;
NPE-400;September 9, 2010;September 9, 2011;December 8, 2014;September 8, 2015;
NPE-400-BUN;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
NPE-G1;February 27, 2012;February 26, 2013;May 24, 2016;February 28, 2017;
NPE-G1-BUN;February 27, 2012;February 26, 2013;May 24, 2016;February 28, 2017;
NPE-G2;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
ONS-SC+-10G-LR;;;;;
ONS-SE-ZE-EL;;;;;
OSM-1CHOC12/T1-SI;July 7, 2008;July 7, 2009;October 2, 2012;July 6, 2013;
PA-2FE-FX;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-2FE-TX;July 10, 2013;July 10, 2014;October 5, 2017;July 31, 2018;
PA-4T+;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-8E;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-8T-V35;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-A3-OC3MM;December 31, 2006;December 30, 2007;March 30, 2011;December 29, 2011;
PA-A3-OC3SMI;December 31, 2006;December 30, 2007;March 30, 2011;December 29, 2011;
PA-FE-TX;October 31, 2003;October 31, 2004;October 31, 2007;October 31, 2008;http://www.cisco.com/en/US/products/hw/modules/ps2033/prod_bulletin09186a0080142d59.html
PA-GE;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-H;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-MC-8E1/120;November 15, 2003 ;November 15, 2004;November 15, 2007 ;November 15, 2008 ;
PA-MC-8TE1+;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-MC-STM-1SMI;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
PA-MCX-8TE1;April 20, 2010;April 20, 2011;;April 19, 2015;
PA-POS-1OC3;;;;;
PA-POS-2OC3;;;;;
PA-POS-OC3SMI;;;;;
PA-VXC-2T1E1+;;;;;
PC-10X-STANDARD-K9;;;;;
PIX-501;;;;;
PIX-506;;;;;
PIX-506E;;;;;
PIX-515E;;;;;
PIX-515E-R-DMZ-BUN;;;;;
POM-OC3-SMIR;;;;;
PR031010-P0;;;;;
PRIME-3-NETWORK-K9;;;;;
PRP-2;;;;;
PRP-2/R;;;;;
PVDM-256K-4;;;;;
PVDM2-8;;;;;
PVDM3-32;;;;;
PWR-1900-AC/6;;;;;
PWR-2700-AC;;;;;
PWR-2700-DC;;;;;
PWR-2700-DC/4;;;;;
PWR-2911-AC;;;;;
PWR-2911-DC;;;;;
PWR-2921-51-AC;;;;;
PWR-2921-51-DC;;;;;
PWR-2KW-DC-V2;;;;;
PWR-3900-AC;;;;;
PWR-3KW-AC-V2;;;;;
PWR-4000-DC;;;;;
PWR-6000-DC;;;;;
PWR-7200;;;;;
PWR-7200/2;;;;;
PWR-7200-AC;;;;;
PWR-7200-ACE;;;;;
PWR-7200-DC;;;;;
PWR-7201-AC;;;;;
PWR-7201-DC;;;;;
PWR-7513-ACE;;;;;
PWR-805-WW1;;;;;
PWR-830-WW1;;;;;
PWR-850-870-WW1;;;;;
PWR-C45-1400DC;;;;;
PWR-C45-1400DC/2;;;;;
PWR-C49-300AC;;;;;
PWR-C49-300AC/2;;;;;
PWR-C49-300DC;;;;;
PWR-C49-300DC/2;;;;;
PWR-C49M-1000AC;;;;;
PWR-C49M-1000AC/2;;;;;
PWR-C49M-1000DC;;;;;
PWR-C49M-1000DC/2;;;;;
PWR-CORD10-CE;;;;;
PWR-CORD-EUR-C;;;;;
PWR-ME3KX-AC;;;;;
PWR-ME3KX-DC;;;;;
QPM-4.0-COMB-K9;;;;;
QSC-SFP120GEW-1570;;;;;
RSP16;;;;;
RSP440-TR;;;;;
RSP720-3C-10GE;;;;;
RSP720-3C-GE;;;;;
RSP720-3CXL-10GE;;;;;
RSP720-3CXL-GE;;;;;
R-UCL-UCM-LIC-K9;;;;;
S17AISK9;;;;;
S17IPV;;;;;
S181AISK9;;;;;
S184IPB;;;;;
S269AISK9;;;;;
S26IPB;;;;;
S280AISK9-12403;;;;;
S280IPB-12401;;;;;
S280IPB-12416;;;;;
S28NAISK9-12401;;;;;
S28NAISK9-12409T;;;;;
S28NIPB;;;;;
S28NIPB-12308T;;;;;
S28NIPB-12403;;;;;
S29NPEK9-15104M;;;;;
S29NPEK9-15201T;;;;;
S29UK9-15001M;;;;;
S340XAK9T-12255SE;;;;;
S340XAT-12250SE;;;;;
S340XAT-12253SE;;;;;
S340XBT-12250SE;;;;;
S3560EVT-12250SE;;;;;
S360XVT-12252EY;;;;;
S382AISK9-12311T;;;;;
S382AISK9-12401;;;;;
S384IPB-12403;;;;;
S384IPB-12415T;;;;;
S384IPB-15001M;;;;;
S45IPB-12253SG;;;;;
S49IPB-12253SG;;;;;
S49LB-12254SG;;;;;
S49MIPB-12253SG;;;;;
S72A;;;;;
S72C;;;;;
S72PZ-12231SB;;;;;
S730C-12225S;;;;;
S75Z;;;;;
S7632AIK9-12233SRA;;;;;
S763IPSK9-12218SXE;;;;;
S763ISS-12218SXF;;;;;
S764AIS-12233SRE;;;;;
S805C;;;;;
S850ASK9;;;;;
S870ASK9;;;;;
SASR1R1-AIS-23SR;;;;;
SASR1R1-AIS-26SR;;;;;
SASR1R1-AIS-31S;;;;;
SASR1R1-AIS-34S;;;;;
SASR1R1-AIS-36S;;;;;
SASR1R1-IPB-25SR;;;;;
SASR1R1-IPB-26SR;;;;;
SASR1R2-AIS-23S;;;;;
SASR1R2-AIS-23SR;;;;;
SASR1R2-AIS-31S;;;;;
SASR1R2-AIS-33S;;;;;
SASR1R2-AIS-34S;;;;;
SASR1R2-IPB-33S;;;;;
SFP;;;;;
SFP-1000A-20KM;;;;;
SFP-1000B-20KM;;;;;
SFP-10G-ER;;;;;
SFP-10G-LR;;;;;
SFP-10G-SR;;;;;
SFP-155-WDM5.20;;;;;
SFP-CWDM-120-1610;;;;;
SFP-CWDM33.60;;;;;
SFP-CWDM35.60;;;;;
SFP-CWDM47.120;;;;;
SFP-CWDM49.60;;;;;
SFP-CWDM51.60;;;;;
SFP-CWDM53.60;;;;;
SFP-CWDM57.120;;;;;
SFP-CWDM57.60;;;;;
SFP-CWDM59.60;;;;;
SFP-CWDM-60-1530;;;;;
SFP-CWDM61.60;;;;;
SFP-CWDM61MR.35;;;;;
SFP-GE-L;;;;;
SFP-GE-S;;;;;
SFP-GE-T;;;;;
SFP-LX.LC.10;;;;;
SFP-LX.LC.20;;;;;
SFP-OC3-IR1;;;;;
SFP-OC3-SR;;;;;
SFP-T;;;;;
SFP-WDM.DDM.3.10;;;;;
SFP-WDM.DDM.5.10;;;;;
SFP-WDM-03-1310;;;;;
SFP-WDM-03-1310-SC;;;;;
SFP-WDM-03-1550;;;;;
SFP-WDM-03-1550-LC;;;;;
SFP-WDM-03-1550-SC;;;;;
SFP-WDM-10-1310;;;;;
SFP-WDM-10-1550;;;;;
SFP-WDM-20-1310;;;;;
SFP-WDM3.03;;;;;
SFP-WDM3.10;;;;;
SFP-WDM3.20;;;;;
SFP-WDM4.40;;;;;
SFP-WDM4.80;;;;;
SFP-WDM5.03;;;;;
SFP-WDM5.10;;;;;
SFP-WDM5.20;;;;;
SFP-WDM5.40;;;;;
SFP-WDM5.80;;;;;
SFP-WDM-80-1490;;;;;
SFP-WDM-80-1550;;;;;
SFP-ZX.LC.120;;;;;
SFP-ZX.LC.70;;;;;
SFP-ZX-80-D;;;;;
SL-29-IPB-K9;;;;;
SLASR1-AIS;;;;;
SM-ES2-16-P;;;;;
SM-ES3G-16-P;;;;;
SM-NM-ADPTR;;;;;
SNR-SFP-LX-120-DDM;;;;;
SNR-X2-ER;;;;;
SP7041;;;;;
SPA-10X1GE-V2;;;;;
SPA-1X10GE-L-V2;;;;;
SPA-1X10GE-L-V2EP;;;;;
SPA-1XCHSTM1/OC3;;;;;
SPA-1XOC3-ATM-V2;;;;;
SPA-2X1GE;;;;;
SPA-2X1GE-V2;;;;;
SPA-2XOC3-ATM;;;;;
SPA-2XOC3-POS;;;;;
SPA-4FE-7304;;;;;
SPA-4XOC3-POS;;;;;
SPA-4XOC3-POS-V2;;;;;
SPA-5X1GE-V2;;;;;
SPA-8X1GE-V2;;;;;
SPA-8XCHT1/E1;;;;;
SPA-8XFE-TX;;;;;
SPA-IPSEC-2G;;;;;
SPS208G-G5;;;;;
SPS224G4;;;;;
SPS224G4-G5;;;;;
SSB1CHK9;;;;;
SSH97CHK9;;;;;
SW-300-V3.X-K9;;;;;
THERM-7606S;;;;;
TRT2005EN-SMC-1Y;;;;;
Unspecified;;;;;
VIC-4FXS/DID;;;;;
VIP6-80;;;;;
VS-F6K-MSFC3;;;;;
VS-F6K-PFC3C;;;;;
VS-F6K-PFC3CXL;;;;;
VS-S720-10G;;;;;
VS-S720-10G-3C;;;;;
VS-S720-10G-3—;;;;;
VWIC-1MFT-E1;;;;;
VWIC2-1MFT-T1/E1;;;;;
VWIC2-2MFT-G703;;;;;
VWIC2-2MFT-T1/E1;;;;;
VWIC-2MFT-E1;;;;;
VWIC-2MFT-E1-DI;;;;;
VWIC-2MFT-G703;;;;;
VWIC3-2MFT-T1/E1;;;;;
VZ-C123 20201474;;;;;
WAAS-CNTRL-MGR;;;;;
WAAS-TRN-APL;;;;;
WAE-512-K9;;;;;
WAE-612-K9;;;;;
WAE-7341-K9;;;;;
WIC-1ENET;;;;;
WIC-1T;;;;;
WIC-2A/S;;;;;
WIC-2T;;;;;
WIC-4ESW;;;;;
WS-C2912-LRE-XL;;;;;
WS-C2912-XL-EN;;;;;
WS-C2924M-XL-EN;;;;;
WS-C2924-XL-EN;;;;;
WS-C2950-12;;;;;
WS-C2950-24;;;;;
WS-C2950G-12-EI;;;;;
WS-C2950G-24-EI;;;;;
WS-C2950ST-24-LRE;;;;;
WS-C2950ST-8-LRE;;;;;
WS-C2950T-24;;;;;
WS-C2950T-48-SI;;;;;
WS-C2960-24-S;;;;;
WS-C2960-24TC-L;;;;;
WS-C2960-24TC-S;;;;;
WS-C2960-24TT-L;;;;;
WS-C2960-48TC-L;;;;;
WS-C2960-48TC-S;;;;;
WS-C2960-48TT-L;;;;;
WS-C2960-8TC-L;;;;;
WS-C2960G-24TC-L;;;;;
WS-C2960G-48TC-L;;;;;
WS-C2960S-48TS-L;;;;;
WS-C2960X-48TS-L;;;;;
WS-C2970G-24T-E;;;;;
WS-C3550-12T;;;;;
WS-C3550-24;;;;;
WS-C3550-24-DC-SMI;;;;;
WS-C3550-24PWR-SMI;;;;;
WS-C3550-24-SMI;;;;;
WS-C3550-48;;;;;
WS-C3550-48-EMI;;;;;
WS-C3560-24PS-S;;;;;
WS-C3560-24TS-E;;;;;
WS-C3560-24TS-S;;;;;
WS-C3560-48TS-S;;;;;
WS-C3560-8PC-S;;;;;
WS-C3560E-12SD-S;;;;;
WS-C3560G-24TS-E;;;;;
WS-C3560G-24TS-S;;;;;
WS-C3560G-48TS-E;;;;;
WS-C3560G-48TS-S;;;;;
WS-C3560V2-24PS-S;;;;;
WS-C3560V2-24TS-E;;;;;
WS-C3560V2-24TS-S;;;;;
WS-C3560V2-24TS-SD;;;;;
WS-C3560V2-48TS-S;;;;;
WS-C3750-24PS-S;;;;;
WS-C3750-48PS-S;;;;;
WS-C3750-48TS-E;;;;;
WS-C3750-48TS-S;;;;;
WS-C3750E-24TD-E;;;;;
WS-C3750G-12S-E;;;;;
WS-C3750G-12S-S;;;;;
WS-C3750G-12S-SD;;;;;
WS-C3750G-24T-E;;;;;
WS-C3750G-24T-S;;;;;
WS-C3750G-24TS-E;;;;;
WS-C3750G-24TS-E1U;;;;;
WS-C3750G-24TS-S;;;;;
WS-C3750G-24TS-S1U;;;;;
WS-C3750G-48TS-E;;;;;
WS-C3750G-48TS-S;;;;;
WS-C3750V2-48TS-E;;;;;
WS-C3750V2-48TS-S;;;;;
WS-C3750X-12S-E;;;;;
WS-C3750X-48T-S;;;;;
WS-C4503-E;;;;;
WS-C4506-E;;;;;
WS-C4900M;;;;;
WS-C4900-SW-LIC;;;;;
WS-C4948;;;;;
WS-C4948-10GE;;;;;
WS-C4948-10GE-E;;;;;
WS-C4948-10GE-S;;;;;
WS-C4948E;;;;;
WS-C4948-E;;;;;
WS-C4948-S;;;;;
WS-C6000-CL;;;;;
WS-C6000-VTT;;;;;
WS-C6504-E;;;;;
WS-C6506;;;;;
WS-C6506-E;;;;;
WS-C6506-E-FAN;;;;;
WS-C6506E-S32-GE;;;;;
WS-C6509;;;;;
WS-C6509-1300AC;;;;;
WS-C6509-E;;;;;
WS-C6509-E-FAN;;;;;
WS-C6509E-S32-GE;;;;;
WS-C6509-E-VPN+-K9;;;;;
WS-C6K-VTT;;;;;
WS-C6K-VTT-E;;;;;
WS-CAC-2500W;;;;;
WS-CAC-3000W;;;;;
WS-CAC-4000W-INT;;;;;
WS-CAC-6000W;;;;;
WS-CDC-2500W;;;;;
WS-CF-UPG;;;;;
WS-F6700-CFC;;;;;
WS-F6700-DFC3C;;;;;
WS-F6700-DFC3CXL;;;;;
WS-F6K-MSFC2A;;;;;
WS-F6K-PFC3B;;;;;
WS-F6K-PFC3BXL;;;;;
WS-G5483;;;;;
WS-G5484;;;;;
WS-G5486;;;;;
WS-SUP32-GE-3B;;;;;
WS-SUP720;;;;;
WS-SUP720†;;;;;
WS-SUP720-3B;;;;;
WS-SUP720-3BXL;;;;;
WS-SUP720-3BXL†;;;;;
WS-SUP720-BASE;;;;;
WS-SVC-ADM-1-K9;;;;;
WS-SVC-AGM-1-K9;;;;;
WS-SVC-FWM-1-K9;;;;;
WS-SVC-MWAM-1;;;;;
WS-X4448-GB-SFP;;;;;
WS-X4593-E;;;;;
WS-X4596-E;;;;;
WS-X45-SUP6-E;;;;;
WS-X4624-SFP-E;;;;;
WS-X4648-RJ45-E;;;;;
WS-X4908-10GE;;;;;
WS-X4920-GB-RJ45;;;;;
WS-X4992;;;;;
WS-X6148A-GE-TX;;;;;
WS-X6148A-RJ-45;;;;;
WS-X6148-GE-TX;;;;;
WS-X6148-RJ-45;;;;;
WS-X6348-RJ-45;;;;;
WS-X6408A-GBIC;;;;;
WS-X6516-GBIC;;;;;
WS-X6582-2PA;;;;;
WS-X6704-10GE;;;;;
WS-X6708-10G-3C;;;;;
WS-X6708-10G-3CXL;;;;;
WS-X6708-10GE;;;;;
WS-X6724-SFP;;;;;
WS-X6748-GE-TX;;;;;
WS-X6748-SFP;;;;;
X2;;;;;
X2-10GB-DWDM;;;;;
X2-10GB-ER;;;;;
X2-10GB-LR;;;;;
X2-10GB-SR;;;;;
X2-10GB-ZR;;;;;
X2-10G-LR;;;;;
X2-DWDM-1550.92-80;;;;;
X2-DWDM-1558.98-80;;;;;
X2toSFP+;;;;;
XENPAK-10GB-ER;;;;;
XENPAK-10GB-ER+;;;;;
XENPAK-10GB-LR;;;;;
XENPAK-10GB-LR+;;;;;
XENPAK-10GB-SR;;;;;
XENPAK-10GB-ZR;;;;;
XFP-10GER-192IR+;;;;;
XFP10GER-192IR-L;;;;;
XFP-10GER-OC192IR;;;;;
XFP10GLR-192SR-L;;;;;
XFP-10GLR-OC192SR;;;;;
XFP-10G-MM-SR;;;;;
XFP-10GZR-OC192LR;;;;;
XR-12000/6;;;;;
XR-A9K-P-04.02;;;;;
XR-A9K-PX-04.02;;;;;
XR-A9K-PX-04.03;;;;;
